id_municipio,rede,diretoria,id_escola,id_escola_sp,nivel_socio_economico
3543402,estadual,RIBEIRAO PRETO,35907873,907873,5.62
3543402,estadual,RIBEIRAO PRETO,35907881,907881,5.31
3547502,estadual,PIRASSUNUNGA,35907911,907911,3.89
3548906,estadual,SAO CARLOS,35907923,907923,4.21
3522109,estadual,SAO VICENTE,35907935,907935,5.48
3541000,estadual,SAO VICENTE,35907972,907972,5.58
3524402,estadual,JACAREI,35908022,908022,7.31
3538006,estadual,PINDAMONHANGABA,35908046,908046,3.46
3538006,estadual,PINDAMONHANGABA,35908058,908058,4.69
3515509,estadual,FERNANDOPOLIS,35908137,908137,5.53
3549805,estadual,SAO JOSE DO RIO PRETO,35908149,908149,4.06
3549805,estadual,SAO JOSE DO RIO PRETO,35908150,908150,5.32
3557105,estadual,VOTUPORANGA,35908162,908162,4.69
3507001,estadual,ITU,35908174,908174,3.76
3521002,estadual,ITU,35908228,908228,5.72
3522307,estadual,ITAPETININGA,35908236,908236,6.28
3545209,estadual,ITU,35908289,908289,7.06
3551108,estadual,ITAPETININGA,35908290,908290,7.63
3557006,estadual,VOTORANTIM,35908320,908320,3.32
3557006,estadual,VOTORANTIM,35908332,908332,5.89
3520301,estadual,MIRACATU,35908344,908344,7.6
3550308,estadual,LESTE 3,35908368,908368,6.11
3550308,estadual,SUL 2,35908373,908373,4.31
3509007,estadual,CAIEIRAS,35908381,908381,4.25
3550308,estadual,CENTRO OESTE,35908400,908400,3.7
3528502,estadual,CAIEIRAS,35908423,908423,4.97
3518800,estadual,GUARULHOS NORTE,35908459,908459,4.07
3552502,estadual,SUZANO,35908460,908460,5.6
3552502,estadual,SUZANO,35908472,908472,6.2
3552502,estadual,SUZANO,35908484,908484,5.49
3515707,estadual,SUZANO,35908502,908502,5.61
3530607,estadual,MOGI DAS CRUZES,35908514,908514,4.64
3510609,estadual,CARAPICUIBA,35908538,908538,5.01
3522505,estadual,ITAPEVI,35908548,908548,4.17
3513009,estadual,CARAPICUIBA,35908551,908551,3.71
3525003,estadual,ITAPEVI,35908563,908563,5.04
3515004,estadual,TABOAO DA SERRA,35908587,908587,4.16
3515004,estadual,TABOAO DA SERRA,35908605,908605,4.86
3505708,estadual,ITAPEVI,35908617,908617,4.32
3510609,estadual,CARAPICUIBA,35908629,908629,5.94
3510609,estadual,CARAPICUIBA,35908630,908630,6.48
3523107,estadual,ITAQUAQUECETUBA,35908642,908642,5.91
3552809,estadual,TABOAO DA SERRA,35908708,908708,5.05
3515004,estadual,TABOAO DA SERRA,35908712,908712,5.19
3548708,estadual,SAO BERNARDO DO CAMPO,35908745,908745,1.21
3548708,estadual,SAO BERNARDO DO CAMPO,35908757,908757,2.63
3548708,estadual,SAO BERNARDO DO CAMPO,35908769,908769,5.14
3550308,estadual,LESTE 3,35908782,908782,5.43
3515350,estadual,MIRANTE DO PARANAPANEMA,35908800,908800,7.03
3505708,estadual,ITAPEVI,35908836,908836,4.17
